slug,reuse_dist
agent-flan-all,0.5143
agentbank-all,0.5577
agentgym-agenttraj-l,0.3134
agentinstruct-all,0.3465
agentnet-actions,0.3841
agentnet-text,0.4242
agenttrek,0.288
aguvis-s2-androidctl-text,0.3056
aider-polyglot-qwen32b-ntc100k,0.4129
aider-polyglot-qwen32b-ntc1k,0.4318
aider-polyglot-qwen3coder30b,0.3395
aider-polyglot-r2egym32b,0.2583
aider-polyglot-sweagentlm7b,0.4367
android-control-text,0.5013
apigen-mt-5k,0.3769
app1-agentic-safety-sft,0.2649
cli-agent-sessions-sampler,0.2651
code-act-codeact,0.3638
coderforge-32b-swebench-verified-eval,0.341
cua-agentnet-gimp-text,0.3202
dcagent-glm47-terminus2,0.2852
dcagent3-financeagent-a3rl,0.3123
deep-research-sft-0406,0.3806
dtap-claude-opus-46,0.4317
dtap-claude-sonnet-45,0.4279
dtap-gemini-3-pro,0.428
factory-agent-task-rollouts,0.2823
fireact-multitask,0.4217
fractal-deepresearch-sft,0.4467
gaia127-r2egym-32b-eval,0.307
gdpval-tasks,0.3762
glaive-fc-v2,0.3499
gpt55-agent-sessions,0.4996
gui-odyssey-actions,0.3421
hermes-fc-multiturn,0.3504
ii-agent-gaia-traj,0.473
inferredbugs-tasks-clean,0.4324
inferredbugs-teacher-glm46-131k,0.442
inferredbugs-teacher-glm46,0.3992
inferredbugs-teacher-glm47,0.4304
inferredbugs-teacher-gpt5nano,0.2975
inferredbugs-teacher-kimi25,0.4275
inferredbugs-teacher-minimax-m27,0.5066
inferredbugs-teacher-qwen35-122b,0.4961
jetbrains-swe-assistant-only,0.3839
jetbrains-swe-test-minus-verified,0.3125
jetbrains-swesmith-subset,0.3162
kimi-k26-agent-sessions,0.2879
kimi-k26-cc-sessions,0.4226
kwai-klear-mini-swe-66k,0.3699
lumos-ground-iter,0.3616
mind2web-actions,0.4807
mind2web-fullobs,0.6544
minimax-m27-agent-sessions,0.3931
minimax-m3-cc-sessions,0.2729
miroverse-agentic-sft-new,0.3649
nebius-swe-agent-traj,0.5061
nemotron-agentic-v1,0.3238
nemotron-rl-conv-tool-pivot,0.3734
nemotron-rl-injection-v1,0.3445
nemotron-rl-swe-pivot,0.313
nemotron-sft-v2-interactive,0.3856
nemotron-sft-v2-search,0.3244
nemotron-sft-v2-tool,0.4095
nl2bash-teacher-glm46,0.4251
nl2bash-teacher-minimax-m27,0.4143
nl2bash-teacher-qwen3coder480b,0.3758
nnetnav-live,0.2574
nnetnav-wa,0.2674
opencua-text,0.3182
openhands-feedback,0.2833
openthoughts-agent-v1-sft,0.4251
opus48-pi-traces,0.3724
qwen35-9b-react-hotpot,0.3885
qwen37-max-pi-sessions,0.4528
r2e-gym-lite-tasks,0.2682
r2e-gym-swe-agent-lm-traj,0.3663
rebel-alfworld-sft,0.6093
rlenv-appworld-train,0.2531
saital-browser-action-only,0.2072
saital-browser-reasoning-action,0.2454
scienceworld-expert-traj,0.2809
smolagents-gaia-traces,0.4228
swe-bench-verified,0.2728
swe-gym-oh-sampled-traj,0.2724
swe-gym-oh-sft-traj,0.2749
swe-gym-oh-verifier-traj,0.2925
swe-gym-tasks,0.2397
swe-hero-oh-traj,0.2979
swe-rebench-oh-assistant-only,0.3488
swe-rebench-oh-traj,0.3145
swe-rebench-test,0.2929
swe-smith-traj-xml,0.3784
swe-zero-12m-traj,0.2938
swe-zero-oh-traj,0.3366
taubench-sonnet-proxy,0.3739
taubench-traces-jkazdan,0.5323
terminal-bench2-qwen3-32b,0.3731
tiger-browseragent-sft,0.2205
toolbench-toolllama-dfs,0.3689
toucan-15m-kimi-k2,0.3338
toucan-15m-oss,0.2725
toucan-15m-qwen3,0.3474
toucan-15m-sft,0.3921
weblinx-actions,0.5632
weblinx-fullobs,0.5015
