dataset,task_id,n_frames,mean_step_delta,frame_stack_zstd_ratio
cua-agentnet-gimp,0064b970-52f8-4dba-affb-cf2d7e670750,10,0.0235,0.2515
cua-agentnet-gimp,013f5040-6a6d-4793-a183-20a11a167518,10,0.0283,0.1816
cua-agentnet-gimp,0169e104-a0cd-49c8-a41f-ea95b0b2caac,10,0.0456,0.2068
cua-agentnet-gimp,01963da1-7d1a-46ee-8cd8-706e25c0a569,10,0.0551,0.193
cua-agentnet-gimp,018da17c-7a36-4b98-829d-9984f06e1d52,10,0.0049,0.1336
cua-agentnet-gimp,027afdcf-af6a-47de-b9ce-488710535614,7,0.0279,0.1977
cua-agentnet-gimp,02e8ebef-64f9-4038-b019-d2d9a6ee5a9c,10,0.0241,0.1899
cua-agentnet-gimp,038716a0-30db-4308-a3b6-93a40f39c853,10,0.0174,0.1815
cua-agentnet-gimp,03c29be8-0aa1-4545-a7c1-7f63921b975d,10,0.0451,0.2501
cua-agentnet-gimp,03f31a69-4729-4d1b-b86e-236b08ad23bc,10,0.0243,0.1924
cua-agentnet-gimp,0430c0c6-2df2-432b-87da-186d8b8efd26,10,0.0424,0.2588
cua-agentnet-gimp,04854cf1-4ac6-4c64-80bf-64980d33e6c1,10,0.0107,0.1904
cua-agentnet-gimp,04a4f4b3-651a-4f70-aa38-f3c64d393508,10,0.005,0.1634
cua-agentnet-gimp,059e23d7-c3c0-4beb-9cd7-1c3bf48fcf5c,10,0.0096,0.1449
cua-agentnet-gimp,080d4366-c137-4bd4-93a0-7461151e1abc,10,0.0102,0.1766
cua-agentnet-gimp,08193ff6-66fb-4a45-83e8-a18068772a93,10,0.0204,0.185
cua-agentnet-gimp,0878f572-fd57-4356-accd-504692dcd26b,6,0.0496,0.2262
cua-agentnet-gimp,093fe1e1-b0a5-4644-8f29-4ae032374950,10,0.0255,0.1616
cua-agentnet-gimp,096a2916-f658-4a1b-8851-92d5b71e546b,9,0.0193,0.1773
cua-agentnet-gimp,0996827d-2b4c-4599-a105-e67a43d315c8,10,0.0175,0.1928
cua-agentnet-gimp,0a37b1fb-5d66-4fb9-99b5-8f6ebe35a1b2,10,0.0055,0.1711
cua-agentnet-gimp,0a8b33af-ff18-421a-b93d-7d5be9358875,10,0.0048,0.1829
cua-agentnet-gimp,0b2c91f5-a5d9-485b-8482-0cdf9d8bd354,10,0.0067,0.1272
cua-agentnet-gimp,0b490bdd-4a58-48ba-b305-f478d9b74068,9,0.1682,0.3576
cua-agentnet-gimp,0bd6230f-360a-47f6-bda7-90377b71f2b5,10,0.0225,0.2243
cua-agentnet-gimp,0ce983b4-c7eb-4a5e-8f66-4b10ba80ee89,10,0.0086,0.144
cua-agentnet-gimp,0d99bac2-5972-4736-8e8c-61ee05b63d10,8,0.0242,0.26
cua-agentnet-gimp,0d84b810-3e49-45f5-8b70-caca792f4718,10,0.0163,0.2008
cua-agentnet-gimp,0d7c6773-e041-4f66-9bd3-04b160e7e669,10,0.0168,0.1727
cua-agentnet-gimp,0e1580af-055f-4154-b098-4d8fda5eb09c,10,0.0451,0.2248
cua-agentnet-gimp,0def0b8b-f822-4bd2-9264-c409c0bae164,10,0.0164,0.1989
cua-agentnet-gimp,0ed75b53-649c-4689-8d9e-3c59df355b7c,8,0.0084,0.1782
cua-agentnet-gimp,0ef29072-2f01-4e1a-9cb6-c1c818f37627,10,0.0114,0.152
cua-agentnet-gimp,0ec96417-1f74-49b6-a47a-a5ccaf0fc12f,10,0.0213,0.2388
cua-agentnet-gimp,0f228c14-e7ee-41e5-850c-1331726eb6fa,10,0.0273,0.2361
cua-agentnet-gimp,0f46c1b9-ded2-49a1-9fb1-79561b8f004f,10,0.0084,0.214
cua-agentnet-gimp,0f895c4e-7cc0-4244-9339-300fba5f553c,10,0.0506,0.2208
cua-agentnet-gimp,10115fe0-0f9e-4f11-ab03-b4db1db4f6f6,10,0.0621,0.2269
cua-agentnet-gimp,10161b6b-c0c7-48b0-9840-85a278f0026c,10,0.0038,0.1664
cua-agentnet-gimp,10a3becc-0876-48db-b210-9d518b7f958c,10,0.0128,0.2291
