slug,neural_bpc,lz_h_inf
agent-flan-all,3.2936,0.0
agentbank-all,0.8742,0.14585014339942054
agentgym-agenttraj-l,1.394,0.0
agentinstruct-all,2.416,0.0
agentnet-actions,2.1297,1.4289313260688765
agentnet-text,2.7662,0.0
agenttrek,1.5501,0.8489581539852947
aider-polyglot-qwen32b-ntc100k,2.7797,0.0
aider-polyglot-qwen32b-ntc1k,1.6375,0.0
aider-polyglot-qwen3coder30b,2.0271,0.08263819483327461
aider-polyglot-r2egym32b,1.9353,0.0
aider-polyglot-sweagentlm7b,0.9392,0.0
android-control-text,2.9959,1.2487404227304766
apigen-mt-5k,1.8713,0.0
app1-agentic-safety-sft,2.5355,0.0
cli-agent-sessions-sampler,3.1834,1.4904582651712355
code-act-codeact,2.1828,0.0
coderforge-32b-swebench-verified-eval,1.9982,0.8315627803322722
cua-agentnet-gimp-text,1.0965,0.0
dcagent-glm47-terminus2,1.6119,0.9126038403924985
dcagent3-financeagent-a3rl,2.8849,0.0
deep-research-sft-0406,3.2039,0.0
dtap-claude-opus-46,1.7408,0.7075489914210278
dtap-claude-sonnet-45,1.7474,0.8120641948577081
dtap-gemini-3-pro,1.7298,0.7402838878767753
factory-agent-task-rollouts,1.4217,0.0
fireact-multitask,2.7955,1.8016579615684012
fractal-deepresearch-sft,3.2737,0.0
gaia127-r2egym-32b-eval,1.978,0.0
gdpval-tasks,3.5673,1.6694202955387718
glaive-fc-v2,1.5973,1.0501678575112703
gpt55-agent-sessions,1.8837,1.9305289333851439
gui-odyssey-actions,1.7699,1.550095246467675
hermes-fc-multiturn,1.5415,0.776732661472108
ii-agent-gaia-traj,1.9684,1.2535433745879787
inferredbugs-tasks-clean,1.4307,0.0
inferredbugs-teacher-glm46,2.0452,0.0
inferredbugs-teacher-glm46-131k,1.5903,0.2232997209437959
inferredbugs-teacher-glm47,1.6195,0.0
inferredbugs-teacher-gpt5nano,1.517,0.0
inferredbugs-teacher-kimi25,1.7004,0.2787176141614056
inferredbugs-teacher-minimax-m27,2.0177,0.16893766942715382
inferredbugs-teacher-qwen35-122b,1.5735,0.20187945302184818
jetbrains-swe-assistant-only,2.7091,0.7153940663332634
jetbrains-swe-test-minus-verified,2.0061,1.62514230732656
jetbrains-swesmith-subset,1.921,1.2488025683354573
kimi-k26-agent-sessions,2.9404,0.9802366854655937
kimi-k26-cc-sessions,1.3149,0.34533993818569475
ko-agent-traj-train,2.4368,0.0
kwai-klear-mini-swe-66k,1.9635,0.26151271020167655
lumos-ground-iter,1.3801,0.0
mind2web-actions,1.8533,1.6963279634071835
mind2web-fullobs,0.8865,0.29730586347267707
minimax-m27-agent-sessions,1.7024,1.2414684286014155
minimax-m3-cc-sessions,1.7553,0.0
miroverse-agentic-sft-new,2.7965,1.2079353210365815
nebius-swe-agent-traj,1.535,0.0
nemotron-rl-conv-tool-pivot,3.9064,0.0
nemotron-rl-injection-v1,1.825,0.0
nemotron-rl-swe-pivot,3.1832,0.5849435538606074
nemotron-sft-v2-interactive,3.5817,0.2579166380539606
nemotron-sft-v2-search,3.4708,1.3660330558584188
nemotron-sft-v2-tool,3.3504,0.0
nl2bash-teacher-glm46,2.0061,0.0
nl2bash-teacher-minimax-m27,1.9075,0.0
nl2bash-teacher-qwen3coder480b,2.065,0.0
nnetnav-live,6.3368,1.3658198822367573
nnetnav-wa,1.3098,0.46273491507324327
opencua-text,2.5792,1.0139376419637913
openhands-feedback,1.2701,0.744701450735196
openthoughts-agent-v1-sft,2.0061,0.0
opus48-pi-traces,2.7892,1.7299857878454479
qwen35-9b-react-hotpot,2.5826,0.0
qwen37-max-pi-sessions,1.4505,1.2872709996327893
r2e-gym-lite-tasks,1.6198,0.8901258628695699
r2e-gym-swe-agent-lm-traj,1.7431,0.006834865781049082
rebel-alfworld-actions,2.5174,0.4326304517356247
rebel-alfworld-sft,1.4142,0.0
scienceworld-expert-traj,1.9433,0.0
smolagents-gaia-traces,3.6951,1.436264201229077
swe-bench-verified,2.4884,1.566764951212698
swe-gym-oh-sampled-traj,2.0932,1.1002071585940163
swe-gym-oh-sft-traj,1.7446,1.106923423087189
swe-gym-oh-verifier-traj,1.7642,1.0722100535117742
swe-gym-tasks,2.3203,1.2205698800555476
swe-hero-oh-traj,1.8204,0.8088993024650116
swe-rebench-oh-assistant-only,3.304,0.6572130957772133
swe-rebench-oh-traj,1.7096,0.6730966898936961
swe-rebench-test,2.3809,0.8414458692257585
swe-smith-traj-xml,1.7032,0.5552212632048479
swe-zero-12m-traj,2.1039,0.7975583043746213
swe-zero-oh-traj,1.7043,1.211842703308288
taubench-traces-jkazdan,1.1491,0.0
terminal-bench2-qwen3-32b,1.2702,0.0
tiger-browseragent-sft,2.27,0.0
toolbench-toolllama-dfs,3.0439,0.0
toucan-15m-kimi-k2,2.0861,1.3442133573079786
toucan-15m-oss,1.7541,0.5694290851336049
toucan-15m-qwen3,2.0159,1.100105706852133
toucan-15m-sft,2.754,0.9240969285252331
weblinx-actions,2.3831,1.9484579586185309
weblinx-fullobs,2.2885,0.0
